ProductID,ProductName,ProductDescription,CategoryTag,Price,RatingESRB,ImageURL,Discount
1,The Legend of Heroes: Sen no Kiseki III,The Legend of Heroes: Sen no Kiseki role-playing game series is highly acclaimed for its elaborate character portrayals and epic storyline.,RPG,61.4,T,/img/thelegendofheroes.jpg,0.2
2,Wild Terra 2: New Lands,MMORPG full of logically interconnected worked out little things that create a unique immersion and the spirit of adventure!,"Action, Indie, Massively Multiplayer, RPG, Early Access",29,E,/img/wildterra2.jpg,0
3,Wasteland 3,A party-based roleplaying game with the series’ signature focus on story reactivity and strategic combat in a post-apocalyptic world.,"RPG, Strategy",49,M17+,/img/wasteland3.jpg,0
4,Persona 5 Strikers,Join the Phantom Thieves and strike back against the corruption overtaking cities across Japan. ,"Action, Adventure",72.9,T,/img/persona5strikers.jpg,0
5,No Man's Sky,No Man's Sky is a game about exploration and survival in an infinite procedurally generated universe.,"Action, Adventure",59.9,T,/img/nomansky.jpg,0
6,Nanotale-Typing Chronicles,"Something is wrong with the heart of magic. Play a young archivist venturing out into a dying world, cataloging its mysteries","Adventure, RPG",18.5,E,/img/nanotale.jpg,0.1
7,Jurassic World Evolution,Place yourself at the heart of the Jurassic franchise and build your own Jurassic World.,"Simulation, Strategy",58,T,/img/jw.jpg,0
8,Cartel Tycoon,"Cartel Tycoon is a survival business sim inspired by the ‘80s narco trade. Expand and conquer, fight off rival cartels and evade the authorities.","Action, Indie, Simulation, Strategy, Early Access",22,M17+,/img/carteltycoon.jpg,0
9,Enderal: Forgotten Stories (Special Edition),Enderal: Forgotten Stories (Special Edition) is a total conversion mod for Skyrim SE.,"Action, Adventure, RPG",5.25,M17+,/img/enderal.jpg,0
10,Element TD 2 - Multiplayer Tower Defense,Element TD 2 sees you combine powerful elements to create unique towers.,"Indie, Strategy",18,E,/img/elementtd2.jpg,0
11,Control Ultimate Edition,"Winner of over 80 awards, Control is a visually stunning third-person action-adventure that will keep you on the edge of your seat.","Action, Adventure",54.99,M17+,/img/control.jpg,0.1
12,Forza Horizon 4,Dynamic seasons change everything at the world’s greatest automotive festival. Play alone or team up to explore beautiful and historic Britain.,Racing,79.9,E,/img/forzahorizon.jpg,0
13,Nioh 2 – The Complete Edition,Experience the thrill of taking on hordes of fearsome yokai in a battle to the death in this brutal masocore Action RPG. ,"Action, RPG",67.9,M17+,/img/nioh2.jpg,0.8
14,Yakuza 6: The Song of Life,"In Yakuza 6, Kazuma Kiryu will find out exactly how much people are willing to sacrifice for family.","Action, Adventure",24.9,M17+,/img/yakuza6.jpg,0
15,Valheim,"A brutal exploration and survival game set in a procedurally-generated purgatory inspired by viking culture. Battle, build, and conquer to a saga worthy of Odin’s patronage! ","Action, Adventure, Indie, RPG, Early Access",18.5,M17+,/img/valheim.jpg,0
16,Planet Zoo,Build a world for wildlife in Planet Zoo. From the developers of Planet Coaster and Zoo Tycoon comes the ultimate zoo sim.,"Casual, Simulation, Strategy",42.49,E10+,/img/planetzoo.jpg,0
17,Evil Genius 2,"Construct your base, train your minions, defend your operations from the Forces of Justice, and achieve global domination!","Simulation, Strategy",34,T,/img/evilgenius.jpg,0
18,It Takes Two,Invite a friend to join for free with Friend’s Pass and work together across a huge variety of gleefully disruptive gameplay challenges.,"Action, Adventure",54.9,T,/img/ittakestwo.jpg,0
19,Horizon Zero Dawn,Experience Aloy’s legendary quest to unravel the mysteries of a future Earth ruled by Machines!,"Action, Adventure, RPG",55,T,/img/horizon0dawn.jpg,0
20,Outriders,"Outriders’ brutal and bloody combat combines frenetic gunplay, violent powers and deep RPG systems to create a true genre hybrid.","Action, Adventure, RPG",82.5,AO18+,/img/outriders.jpg,0.3
21,BattleShip Apollo,Create and equip your Battleship. Bring your Battleship to combat and earn rewards as you progress.,Strategy,43.3,M17+,/img/BattleshipApollo.jpg,0
22,Divided Reigns,"The full-scale, epic fantasy role-playing experience. Expect strategic battles, an epic scale, well-developed characters, and a deep and emotional story.",Fantasy,18.5,E,/img/DividedReigns.jpg,0
23,Satisfactory,"Satisfactory is a first-person open-world factory building game with a dash of exploration and combat. Create multi-story factories, and enter conveyor belt heaven!",Automatio,26,T,/img/Satisfactory.jpg,0
24,GhostRunner,"Fast-paced, violent combat, and an original setting that blends science fiction with post-apocalyptic themes. Story of a world that has already ended and its inhabitants who fight to survive.",Action,40,M17+,/img/GhostRunner.jpg,0.15
25,Super Mecha Champions,"Action shooter featuring mecha combats, which sets scene in a neo-futuristic Alpha City. Overcome opponents with cutting-edge weapons, magnificent mechas and vehicles","Action,shooter",22,E,/img/SuperMechaChampions.jpg,0
26,AirportCEO,Build and manage an international airport!,"Stimulation,Management,Strategy",26,M17+,/img/AirportCEO.jpg,0
27,Final Fantasy XIV,Take part in an epic and ever-changing FINAL FANTASY as you adventure and explore with friends from around the world.,RPG,24,T,/img/FinalFantasyXIV.jpg,0
28,Hired Ops,Hired Ops is a session-based online shooter dedicated to fierce conflicts between rival mercenary groups battling on a global scale.,Action,18.5,M17+,/img/HiredOps.jpg,0.4
29,Monster Hunter World: IceBorne Master,"Main game+Iceborne expansion. New quests, monsters, weapons, armor, story, and the unlocking of an all-new ""master rank"" await to take your hunting to the next level!",Action,82,T,/img/MonsterHunter.jpg,0.7
30,Three Kingdom,First in the award-winning series to recreate epic conflict across ancient China. Combining a gripping turn-based campaign of empire-building & conquest with stunning real-time battles.,"Strategy,War,Historical",59,M17+,/img/ThreeKingdom.jpg,0
